19/12/2022 09:11:45	19/12/2022 08:34:12
22/12/2022 10:03:08	21/12/2022 13:32:47
30/01/2023 09:21:30	29/01/2023 02:05:41
14/02/2023 11:46:44	14/02/2023 10:55:52
03/04/2023 02:35:39	03/04/2023 02:23:00
03/04/2023 08:52:24	02/04/2023 19:03:27
12/06/2023 17:53:56	12/06/2023 17:42:06
20/06/2022 18:52	18/06/2022 20:45:06
24/08/2022 12:06	24/08/2022 23:10:00
16/09/2022 14:31	16/09/2022 14:11:07
19/09/2022 11:21	19/09/2022 10:46:05
22/10/2022 23:36	22/10/2022 20:23:43
4/11/2022 22:05	04/11/2022 21:12:00
